    tmt1 tmt2        var     mean1     mean2     pop.sd std.eff.sz     p    ks ks.pval stop.method
107    2    4    Other_R     0.140     0.101      0.351      0.111 0.198 0.039   0.998         unw
108    2    4      Black     0.291     0.413      0.442      0.276 0.012 0.122   0.099         unw
109    2    4       Male     0.668     0.807      0.500      0.279 0.000 0.140   0.039         unw
110    2    4      AGE97    14.254    14.073      1.481      0.122 0.209 0.056   0.912         unw
111    2    4     Sample     1.249     1.330      0.433      0.188 0.082 0.081   0.520         unw
112    2    4      PIB16     0.101     0.119      0.244      0.076 0.563 0.019   1.000         unw
113    2    4     BMEA97    12.125    11.394      2.919      0.250 0.009 0.141   0.038         unw
114    2    4     BFEA97    11.929    11.101      3.193      0.259 0.002 0.108   0.192         unw
115    2    4 RPHEALTH97     3.572     3.211      1.098      0.329 0.001 0.124   0.092         unw
116    2    4       HT97     0.059     0.119      0.223      0.270 0.058 0.060   0.859         unw
117    2    4     HHNW97 74388.496 42611.817 139133.930      0.228 0.000 0.145   0.029         unw
118    2    4      BBPHH     0.372     0.229      0.500      0.286 0.001 0.143   0.032         unw
119    2    4       CC1Y     0.285     0.229      0.449      0.125 0.184 0.056   0.910         unw
120    2    4     PPSM97     2.838     3.083      1.283      0.191 0.093 0.108   0.189         unw
121    2    4     PPDR97     2.308     2.394      1.244      0.069 0.529 0.063   0.821         unw
122    2    4     PPIG97     1.774     2.083      0.978      0.316 0.019 0.097   0.296         unw
123    2    4     PPID97     2.615     2.697      1.307      0.063 0.577 0.049   0.971         unw
124    2    4     PPHS97     2.728     2.917      1.328      0.142 0.184 0.072   0.680         unw
125    2    4     THAS97     1.799     1.110      5.201      0.132 0.046 0.028   1.000         unw
126    2    4     PFAS97     0.799     1.606      1.697      0.475 0.009 0.173   0.005         unw
127    2    4      LFS97     4.182     4.606      7.011      0.060 0.653 0.056   0.906         unw
128    2    4     ABFS97     6.662     9.761      7.568      0.409 0.029 0.132   0.059         unw
129    2    4    RTGAS97     2.886     2.725      0.623      0.260 0.043 0.082   0.515         unw
130    2    4    RDFAS97     2.651     2.771      0.782      0.153 0.148 0.062   0.828         unw
131    3    4     HIN_97     0.806     0.761      0.342      0.129 0.384 0.044   0.999         unw
132    3    4   Hispanic     0.274     0.193      0.409      0.200 0.109 0.082   0.762         unw
133    3    4    Other_R     0.166     0.101      0.351      0.185 0.109 0.065   0.941         unw
134    3    4      Black     0.366     0.413      0.442      0.107 0.430 0.047   0.998         unw
135    3    4       Male     0.754     0.807      0.500      0.106 0.289 0.053   0.992         unw
136    3    4      AGE97    14.274    14.073      1.481      0.136 0.248 0.069   0.905         unw
137    3    4     Sample     1.343     1.330      0.433      0.029 0.828 0.013   1.000         unw
138    3    4      PIB16     0.160     0.119      0.244      0.167 0.329 0.041   1.000         unw
139    3    4     BMEA97    11.429    11.394      2.919      0.012 0.924 0.089   0.666         unw
140    3    4     BFEA97    10.829    11.101      3.193      0.085 0.426 0.083   0.743         unw
141    3    4 RPHEALTH97     3.303     3.211      1.098      0.084 0.502 0.049   0.997         unw
142    3    4       HT97     0.091     0.119      0.223      0.125 0.464 0.028   1.000         unw
143    3    4     HHNW97 48621.851 42611.817 139133.930      0.043 0.558 0.076   0.834         unw
144    3    4      BBPHH     0.217     0.229      0.500      0.024 0.811 0.012   1.000         unw
145    3    4       CC1Y     0.206     0.229      0.449      0.053 0.641 0.024   1.000         unw
146    3    4     PPSM97     2.926     3.083      1.283      0.122 0.365 0.092   0.618         unw
147    3    4     PPDR97     2.366     2.394      1.244      0.023 0.864 0.045   0.999         unw
148    3    4     PPIG97     2.023     2.083      0.978      0.061 0.705 0.061   0.963         unw
149    3    4     PPID97     2.817     2.697      1.307      0.092 0.510 0.070   0.894         unw
150    3    4     PPHS97     3.097     2.917      1.328      0.135 0.304 0.072   0.877         unw
151    3    4     THAS97     2.480     1.110      5.201      0.263 0.105 0.050   0.996         unw
152    3    4     PFAS97     1.600     1.606      1.697      0.003 0.989 0.049   0.997         unw
153    3    4      LFS97     5.846     4.606      7.011      0.177 0.319 0.130   0.207         unw
154    3    4     ABFS97    10.309     9.761      7.568      0.072 0.765 0.074   0.860         unw
155    3    4    RTGAS97     2.709     2.725      0.623      0.026 0.868 0.016   1.000         unw
156    3    4    RDFAS97     2.537     2.771      0.782      0.299 0.029 0.118   0.310         unw
157    1    2     HIN_97     0.867     0.870      0.342      0.008 0.805 0.003   1.000      es.max
158    1    2   Hispanic     0.215     0.193      0.409      0.053 0.128 0.022   0.871      es.max
159    1    2    Other_R     0.147     0.143      0.351      0.010 0.788 0.003   1.000      es.max
160    1    2      Black     0.268     0.271      0.442      0.008 0.833 0.003   1.000      es.max
161    1    2       Male     0.508     0.553      0.500      0.090 0.016 0.045   0.094      es.max
162    1    2      AGE97    14.392    14.285      1.481      0.072 0.047 0.025   0.740      es.max
163    1    2     Sample     1.251     1.236      0.433      0.035 0.323 0.015   0.995      es.max
164    1    2      PIB16     0.061     0.070      0.244      0.033 0.295 0.008   1.000      es.max
165    1    2     BMEA97    12.416    12.423      2.919      0.002 0.944 0.015   0.994      es.max
166    1    2     BFEA97    12.394    12.346      3.193      0.015 0.653 0.024   0.762      es.max
167    1    2 RPHEALTH97     3.678     3.674      1.098      0.004 0.920 0.003   1.000      es.max
168    1    2       HT97     0.052     0.048      0.223      0.016 0.637 0.003   1.000      es.max
169    1    2     HHNW97 93163.839 89927.779 139133.930      0.023 0.528 0.017   0.976      es.max
170    1    2      BBPHH     0.493     0.463      0.500      0.061 0.097 0.031   0.482      es.max
171    1    2       CC1Y     0.282     0.286      0.449      0.007 0.847 0.003   1.000      es.max
172    1    2     PPSM97     2.591     2.642      1.283      0.040 0.271 0.018   0.971      es.max
173    1    2     PPDR97     2.115     2.131      1.244      0.013 0.707 0.013   1.000      es.max
174    1    2     PPIG97     1.582     1.585      0.978      0.003 0.930 0.013   1.000      es.max
175    1    2     PPID97     2.281     2.323      1.307      0.032 0.350 0.026   0.673      es.max
176    1    2     PPHS97     2.443     2.504      1.328      0.046 0.199 0.022   0.856      es.max
177    1    2     THAS97     0.911     0.846      5.201      0.012 0.519 0.015   0.994      es.max
178    1    2     PFAS97     0.380     0.398      1.697      0.010 0.696 0.012   1.000      es.max
179    1    2      LFS97     2.345     2.411      7.011      0.009 0.720 0.016   0.990      es.max
180    1    2     ABFS97     4.735     4.718      7.568      0.002 0.931 0.011   1.000      es.max
181    1    2    RTGAS97     3.025     2.994      0.623      0.049 0.130 0.019   0.950      es.max
182    1    2    RDFAS97     2.823     2.773      0.782      0.064 0.054 0.027   0.642      es.max
183    1    3     HIN_97     0.867     0.816      0.342      0.150 0.230 0.051   0.992      es.max
184    1    3   Hispanic     0.215     0.307      0.409      0.227 0.109 0.093   0.570      es.max
185    1    3    Other_R     0.147     0.190      0.351      0.124 0.416 0.044   0.999      es.max
186    1    3      Black     0.268     0.213      0.442      0.125 0.141 0.056   0.980      es.max
187    1    3       Male     0.508     0.688      0.500      0.361 0.002 0.180   0.019      es.max
188    1    3      AGE97    14.392    14.028      1.481      0.246 0.036 0.105   0.411      es.max
189    1    3     Sample     1.251     1.218      0.433      0.078 0.404 0.034   1.000      es.max
190    1    3      PIB16     0.061     0.114      0.244      0.216 0.147 0.053   0.989      es.max
191    1    3     BMEA97    12.416    12.302      2.919      0.039 0.801 0.067   0.909      es.max
192    1    3     BFEA97    12.394    11.674      3.193      0.225 0.031 0.137   0.137      es.max
193    1    3 RPHEALTH97     3.678     3.469      1.098      0.191 0.085 0.099   0.490      es.max
194    1    3       HT97     0.052     0.042      0.223      0.046 0.494 0.010   1.000      es.max
195    1    3     HHNW97 93163.839 76424.914 139133.930      0.120 0.224 0.094   0.550      es.max
196    1    3      BBPHH     0.493     0.321      0.500      0.344 0.004 0.172   0.029      es.max
197    1    3       CC1Y     0.282     0.285      0.449      0.007 0.961 0.003   1.000      es.max
198    1    3     PPSM97     2.591     2.592      1.283      0.001 0.994 0.030   1.000      es.max
199    1    3     PPDR97     2.115     2.002      1.244      0.091 0.398 0.067   0.901      es.max
200    1    3     PPIG97     1.582     1.629      0.978      0.048 0.616 0.087   0.650      es.max
201    1    3     PPID97     2.281     2.501      1.307      0.169 0.100 0.095   0.541      es.max
202    1    3     PPHS97     2.443     2.549      1.328      0.080 0.468 0.043   0.999      es.max
203    1    3     THAS97     0.911     0.634      5.201      0.053 0.089 0.031   1.000      es.max
204    1    3     PFAS97     0.380     0.457      1.697      0.045 0.324 0.074   0.827      es.max
205    1    3      LFS97     2.345     2.176      7.011      0.024 0.642 0.051   0.992      es.max
206    1    3     ABFS97     4.735     5.055      7.568      0.042 0.593 0.044   0.999      es.max
207    1    3    RTGAS97     3.025     2.954      0.623      0.115 0.168 0.071   0.860      es.max
208    1    3    RDFAS97     2.823     2.772      0.782      0.065 0.622 0.076   0.801      es.max
209    1    4     HIN_97     0.867     0.869      0.342      0.005 0.968 0.002   1.000      es.max
210    1    4   Hispanic     0.215     0.086      0.409      0.315 0.000 0.129   0.595      es.max
211    1    4    Other_R     0.147     0.069      0.351      0.222 0.039 0.078   0.982      es.max
212    1    4      Black     0.268     0.333      0.442      0.147 0.402 0.065   0.998      es.max
213    1    4       Male     0.508     0.600      0.500      0.185 0.295 0.092   0.921      es.max
214    1    4      AGE97    14.392    13.786      1.481      0.410 0.003 0.164   0.292      es.max
215    1    4     Sample     1.251     1.313      0.433      0.143 0.427 0.062   0.999      es.max
216    1    4      PIB16     0.061     0.066      0.244      0.019 0.903 0.005   1.000      es.max
217    1    4     BMEA97    12.416    12.223      2.919      0.066 0.482 0.125   0.634      es.max
218    1    4     BFEA97    12.394    11.720      3.193      0.211 0.038 0.179   0.205      es.max
219    1    4 RPHEALTH97     3.678     3.542      1.098      0.124 0.478 0.056   1.000      es.max
220    1    4       HT97     0.052     0.051      0.223      0.005 0.960 0.001   1.000      es.max
221    1    4     HHNW97 93163.839 50201.957 139133.930      0.309 0.002 0.235   0.040      es.max
222    1    4      BBPHH     0.493     0.287      0.500      0.412 0.006 0.206   0.097      es.max
223    1    4       CC1Y     0.282     0.303      0.449      0.046 0.791 0.020   1.000      es.max
224    1    4     PPSM97     2.591     2.503      1.283      0.069 0.663 0.050   1.000      es.max
225    1    4     PPDR97     2.115     1.934      1.244      0.146 0.372 0.139   0.499      es.max
226    1    4     PPIG97     1.582     1.618      0.978      0.037 0.800 0.042   1.000      es.max
227    1    4     PPID97     2.281     2.149      1.307      0.101 0.473 0.069   0.996      es.max
228    1    4     PPHS97     2.443     2.319      1.328      0.093 0.536 0.091   0.931      es.max
229    1    4     THAS97     0.911     0.833      5.201      0.015 0.789 0.067   0.997      es.max
230    1    4     PFAS97     0.380     0.306      1.697      0.044 0.305 0.015   1.000      es.max
231    1    4      LFS97     2.345     2.415      7.011      0.010 0.945 0.040   1.000      es.max
232    1    4     ABFS97     4.735     4.324      7.568      0.054 0.544 0.085   0.959      es.max
233    1    4    RTGAS97     3.025     3.169      0.623      0.230 0.108 0.078   0.981      es.max
234    1    4    RDFAS97     2.823     2.964      0.782      0.181 0.252 0.072   0.992      es.max
235    2    3     HIN_97     0.870     0.816      0.342      0.159 0.218 0.054   0.990      es.max
236    2    3   Hispanic     0.193     0.307      0.409      0.280 0.054 0.115   0.348      es.max
237    2    3    Other_R     0.143     0.190      0.351      0.134 0.391 0.047   0.999      es.max
238    2    3      Black     0.271     0.213      0.442      0.133 0.144 0.059   0.975      es.max
239    2    3       Male     0.553     0.688      0.500      0.270 0.026 0.135   0.177      es.max
240    2    3      AGE97    14.285    14.028      1.481      0.173 0.154 0.083   0.746      es.max
241    2    3     Sample     1.236     1.218      0.433      0.043 0.662 0.019   1.000      es.max
242    2    3      PIB16     0.070     0.114      0.244      0.183 0.227 0.045   0.999      es.max
243    2    3     BMEA97    12.423    12.302      2.919      0.041 0.793 0.061   0.964      es.max
244    2    3     BFEA97    12.346    11.674      3.193      0.210 0.053 0.113   0.369      es.max
245    2    3 RPHEALTH97     3.674     3.469      1.098      0.187 0.104 0.095   0.584      es.max
246    2    3       HT97     0.048     0.042      0.223      0.030 0.678 0.007   1.000      es.max
247    2    3     HHNW97 89927.779 76424.914 139133.930      0.097 0.352 0.084   0.736      es.max
248    2    3      BBPHH     0.463     0.321      0.500      0.283 0.024 0.141   0.141      es.max
249    2    3       CC1Y     0.286     0.285      0.449      0.001 0.997 0.000   1.000      es.max
250    2    3     PPSM97     2.642     2.592      1.283      0.039 0.744 0.030   1.000      es.max
251    2    3     PPDR97     2.131     2.002      1.244      0.104 0.353 0.069   0.911      es.max
252    2    3     PPIG97     1.585     1.629      0.978      0.045 0.649 0.074   0.856      es.max
253    2    3     PPID97     2.323     2.501      1.307      0.137 0.200 0.083   0.754      es.max
254    2    3     PPHS97     2.504     2.549      1.328      0.034 0.766 0.023   1.000      es.max
255    2    3     THAS97     0.846     0.634      5.201      0.041 0.213 0.037   1.000      es.max
256    2    3     PFAS97     0.398     0.457      1.697      0.035 0.465 0.062   0.961      es.max
257    2    3      LFS97     2.411     2.176      7.011      0.034 0.540 0.045   0.999      es.max
258    2    3     ABFS97     4.718     5.055      7.568      0.045 0.584 0.048   0.998      es.max
259    2    3    RTGAS97     2.994     2.954      0.623      0.066 0.454 0.052   0.993      es.max
260    2    3    RDFAS97     2.773     2.772      0.782      0.001 0.993 0.074   0.861      es.max
261    2    4     HIN_97     0.870     0.869      0.342      0.003 0.980 0.001   1.000      es.max
262    2    4   Hispanic     0.193     0.086      0.409      0.262 0.004 0.107   0.825      es.max
263    2    4    Other_R     0.143     0.069      0.351      0.212 0.059 0.075   0.991      es.max
264    2    4      Black     0.271     0.333      0.442      0.139 0.435 0.061   0.999      es.max
265    2    4       Male     0.553     0.600      0.500      0.095 0.598 0.047   1.000      es.max
266    2    4      AGE97    14.285    13.786      1.481      0.337 0.018 0.139   0.517      es.max
267    2    4     Sample     1.236     1.313      0.433      0.178 0.330 0.077   0.987      es.max
268    2    4      PIB16     0.070     0.066      0.244      0.014 0.929 0.003   1.000      es.max
269    2    4     BMEA97    12.423    12.223      2.919      0.069 0.488 0.115   0.754      es.max
270    2    4     BFEA97    12.346    11.720      3.193      0.196 0.063 0.155   0.384      es.max
271    2    4 RPHEALTH97     3.674     3.542      1.098      0.121 0.498 0.057   1.000      es.max
272    2    4       HT97     0.048     0.051      0.223      0.011 0.920 0.002   1.000      es.max
273    2    4     HHNW97 89927.779 50201.957 139133.930      0.286 0.006 0.226   0.060      es.max
274    2    4      BBPHH     0.463     0.287      0.500      0.351 0.022 0.175   0.242      es.max
275    2    4       CC1Y     0.286     0.303      0.449      0.038 0.827 0.017   1.000      es.max
276    2    4     PPSM97     2.642     2.503      1.283      0.109 0.502 0.065   0.999      es.max
277    2    4     PPDR97     2.131     1.934      1.244      0.158 0.340 0.140   0.510      es.max
278    2    4     PPIG97     1.585     1.618      0.978      0.035 0.818 0.029   1.000      es.max
279    2    4     PPID97     2.323     2.149      1.307      0.133 0.356 0.095   0.915      es.max
280    2    4     PPHS97     2.504     2.319      1.328      0.139 0.367 0.110   0.799      es.max
281    2    4     THAS97     0.846     0.833      5.201      0.003 0.964 0.052   1.000      es.max
282    2    4     PFAS97     0.398     0.306      1.697      0.054 0.228 0.019   1.000      es.max
283    2    4      LFS97     2.411     2.415      7.011      0.001 0.997 0.046   1.000      es.max
284    2    4     ABFS97     4.718     4.324      7.568      0.052 0.569 0.087   0.959      es.max
285    2    4    RTGAS97     2.994     3.169      0.623      0.279 0.056 0.097   0.902      es.max
286    2    4    RDFAS97     2.773     2.964      0.782      0.244 0.127 0.099   0.886      es.max
287    3    4     HIN_97     0.816     0.869      0.342      0.155 0.374 0.053   1.000      es.max
288    3    4   Hispanic     0.307     0.086      0.409      0.543 0.001 0.222   0.163      es.max
289    3    4    Other_R     0.190     0.069      0.351      0.346 0.064 0.122   0.820      es.max
290    3    4      Black     0.213     0.333      0.442      0.272 0.162 0.120   0.830      es.max
291    3    4       Male     0.688     0.600      0.500      0.176 0.406 0.088   0.983      es.max
292    3    4      AGE97    14.028    13.786      1.481      0.164 0.365 0.065   1.000      es.max
293    3    4     Sample     1.218     1.313      0.433      0.221 0.276 0.096   0.961      es.max
294    3    4      PIB16     0.114     0.066      0.244      0.197 0.362 0.048   1.000      es.max
295    3    4     BMEA97    12.302    12.223      2.919      0.027 0.880 0.130   0.761      es.max
296    3    4     BFEA97    11.674    11.720      3.193      0.014 0.921 0.117   0.855      es.max
297    3    4 RPHEALTH97     3.469     3.542      1.098      0.066 0.748 0.067   0.999      es.max
298    3    4       HT97     0.042     0.051      0.223      0.040 0.736 0.009   1.000      es.max
299    3    4     HHNW97 76424.914 50201.957 139133.930      0.188 0.176 0.217   0.185      es.max
300    3    4      BBPHH     0.321     0.287      0.500      0.068 0.723 0.034   1.000      es.max
301    3    4       CC1Y     0.285     0.303      0.449      0.039 0.858 0.017   1.000      es.max
302    3    4     PPSM97     2.592     2.503      1.283      0.070 0.721 0.080   0.993      es.max
303    3    4     PPDR97     2.002     1.934      1.244      0.055 0.780 0.071   0.999      es.max
304    3    4     PPIG97     1.629     1.618      0.978      0.011 0.951 0.046   1.000      es.max
305    3    4     PPID97     2.501     2.149      1.307      0.270 0.122 0.140   0.671      es.max
306    3    4     PPHS97     2.549     2.319      1.328      0.173 0.354 0.133   0.736      es.max
307    3    4     THAS97     0.634     0.833      5.201      0.038 0.538 0.089   0.981      es.max
308    3    4     PFAS97     0.457     0.306      1.697      0.089 0.130 0.060   1.000      es.max
309    3    4      LFS97     2.176     2.415      7.011      0.034 0.823 0.091   0.975      es.max
310    3    4     ABFS97     5.055     4.324      7.568      0.097 0.415 0.086   0.986      es.max
311    3    4    RTGAS97     2.954     3.169      0.623      0.345 0.037 0.150   0.594      es.max
312    3    4    RDFAS97     2.772     2.964      0.782      0.245 0.232 0.113   0.877      es.max
